ooh,1305
careful,106
homer,5264
there's,1923
no,8511
time,2713
we're,2398
late,303
o,414
little,2772
town,609
of,17825
bethlehem,3
how,3723
still,1124
we,9177
see,3302
the,46044
elie,1
excuse,390
me,12201
pardon,46
sorry,1687
hey,4623
norman,7
how's,149
it,15417
goin,88
so,6468
you,41649
got,4306
dragged,11
down,1952
here,4861
too,1824
huh,1386
doin,83
fred,20
yeah,3386
scuse,9
oh,11212
my,13973
galoshes,2
are,7057
met,177
in,14151
thee,54
tonight,584
wasn't,360
that,13937
wonderful,282
and,20875
now,6386
santas,3
many,624
lands,11
as,3103
presented,6
by,2243
entire,119
second,369
grade,152
class,361
lisa's,186
frohliche,1
weihnachten,1
that's,4976
german,51
for,11084
merry,65
christmas,445
germany,9
santa's,91
servant,9
ruprecht,1
gives,126
presents,62
to,30389
good,3610
children,709
whipping,16
rods,9
parents,254
bad,952
ones,143
kurisumasu,1
i,39750
am,1594
hotseiosha,1
a,34813
japanese,54
priest,13
who,2783
acts,17
like,6580
santa,114
claus,30
have,8228
eyes,405
back,2774
ofmy,1
head,564
better,1363
behave,18
when,2718
i'm,10301
nearby,19
presenting,17
lisa,2501
simpson,2233
tawanga,1
south,62
seas,12
it's,7298
ours,54
ah,1088
fourth,85
will,3214
favor,96
us,2585
with,7069
melody,46
uh,3476
medley,6
holiday,62
flavorites,1
dashing,3
through,678
snow,95
one,5023
horse,153
open,405
sleigh,16
o'er,5
fields,7
go,4179
laughing,1387
all,8789
way,1901
ha,847
bells,56
on,9750
bobtail,1
ring,161
isn't,879
bart,3853
sweet,514
he,3968
sings,21
an,2917
angel,95
jingle,24
batman,30
smells,96
robin,19
laid,30
egg,75
batmobile,7
broke,165
its,304
wheel,75
joker,8
awa,2
fifth,50
favour,2
scene,84
from,3380
charles,40
dickens,13
carol,23
grades,36
does,826
this,12682
school,1185
dear,413
friends,590
family,944
had,1718
some,2515
sadness,9
gladness,1
year,552
first,1379
our,3682
cat,239
snowball,36
was,6061
unexpectedly,2
run,494
over,1658
went,399
kitty,44
heaven,149
but,7929
bought,228
new,1581
guess,884
life,1315
goes,330
speaking,170
going,2248
grandpa's,4
feisty,11
ever,1437
maggie,569
is,13678
walking,131
herself,35
straight,176
a's,23
well,6099
love,2064
magic,145
season,90
has,1924
touched,43
marge,3216
haven't,392
finished,92
stupid,733
letter,133
yet,380
sends,13
his,2474
happy,724
holidays,27
simpsons,556
where's,427
extension,12
cord,20
heaven's,7
sake,41
utility,15
drawer,25
just,7222
big,1144
kid,631
much,1170
d'oh,1120
right,4429
let,1641
those,1641
letters,65
i'll,3438
send,222
them,1805
workshop,9
at,4964
north,73
pole,36
please,1534
only,1834
fat,478
guy,966
brings,70
name,956
ain't,423
pony,59
you've,1125
asked,147
last,1058
three,985
years,826
keep,842
telling,222
can't,2972
fit,105
into,1296
take,2529
hint,13
really,2113
want,3263
i've,2406
been,2074
maybe,1271
more,2188
realistic,14
tattoo,37
what,8910
they're,1209
cool,594
they,3316
rest,280
your,11356
not,6692
be,7744
getting,681
if,4516
you'll,1061
pay,476
out,5139
allowance,19
yello,14
who's,567
may,677
speak,164
her,1958
sister,230
there,3352
shall,240
say,2356
calling,156
hello,989
patty,122
selma,173
couldn't,367
excited,87
about,3737
seeing,126
eve,50
looking,479
forward,61
visit,140
somehow,57
doubt,43
men,334
could've,61
married,307
don't,7625
know,5308
why,3061
picked,64
always,1100
rude,35
dad,2686
okay,2696
kids,1667
prepare,56
dazzled,4
turn,607
juice,93
do,7083
think,2994
nice,813
try,576
hold,396
horses,45
son,1093
flanders,601
looks,641
ho,361
neato,3
bright,49
oughta,18
show,1196
off,1887
wanna,462
shopping,66
mall,67
get,5803
money,1123
tell,1679
where,1804
hiding,62
secrets,62
around,738
can,5456
look,2862
jar,45
best,820
present,164
mother,636
could,2555
makes,453
dangerous,105
wait,1496
minute,555
old,1416
twenty,58
sir,1200
chair,154
mm,705
hmm,2017
attention,280
personnel,7
working,285
during,124
following,90
announcement,35
boss,161
friend,618
mr,1730
burns,879
proud,212
announce,36
we've,795
able,124
increase,21
safety,130
plant,267
without,598
increasing,4
cost,135
consumer,8
or,2180
affecting,1
management,26
payraises,1
however,35
semiskilled,1
workers,43
bonuses,2
thing,1623
thank,1226
god,1450
mom,1514
thought,1056
you'd,436
yes,2249
mrs,347
remove,39
son's,51
simple,105
routine,21
involving,10
lasers,9
rather,124
expensive,69
must,905
insist,28
cash,143
payment,18
up,5155
front,242
homer's,179
bonus,13
ay,168
caramba,95
whatever,291
squirm,6
sucker,58
near,86
eye,275
groin,22
ow,859
quit,268
what's,1598
used,541
real,790
spend,228
having,376
surgically,3
removed,10
true,449
empty,79
ruined,145
canceled,39
anyone,445
worry,662
we'll,1064
stretch,23
even,1298
further,57
silly,84
this'll,35
any,1214
hohoho,4
feeling,217
something,1786
told,521
because,1236
deserve,120
wallet,36
credit,116
card,238
won't,891
set,310
horrible,160
beeping,382
asking,107
um,578
honest,114
would,2176
sure,1566
let'ssee,1
pantyhose,2
practical,13
alluring,1
six,324
pack,93
4,97
99,32
pads,12
paper,202
bet,263
million,257
things,893
these,1644
leaves,57
squeak,21
toy,95
says,513
dogs,225
she,1446
read,448
mess,78
which,776
yours,209
mine,270
let's,1908
one's,168
dropped,44
pork,79
chop,61
gimme,70
gee,128
matter,256
somebody,215
leave,607
lump,13
coal,17
stocking,5
sitting,116
sucking,72
beer,567
day,1624
long,803
thanks,875
moe,820
drinks,41
crazy,472
getup,3
barn,41
part,405
timejob,1
wow,876
pretty,530
selective,2
mean,1152
nuts,143
certainly,132
welcome,521
aboard,35
pending,9
successful,53
completion,5
training,59
program,84
paid,187
dime,33
till,364
top,278
dasher,2
dancer,21
prancer,2
nixon,14
comet,21
cupid,5
donna,3
dixon,3
sit,285
boy,1718
you're,5511
tubby,13
egghead,12
such,505
emergency,54
arises,1
vey,6
busy,107
helpers,4
knew,380
seven,197
hours,258
word,424
heading,49
tub,45
sisters,70
daddy,327
glad,275
finally,438
home,1212
trip,189
fine,752
both,1048
wouldn't,481
tree,232
sleighbells,1
listening,98
lane,29
glistening,2
beautiful,450
sight,58
winter,52
wonderland,7
come,3156
beauty,82
yay,98
birdhouse,5
ornament,11
smell,213
gunpowder,8
then,1779
robotoids,1
goop,4
monster,171
great,1438
giant,118
aw,664
need,1758
junk,71
already,479
important,267
decent,40
loving,84
father,683
anything,909
afford,154
lunch,184
give,1744
bite,130
donut,26
load,51
quote,20
unquote,4
believe,815
falling,67
milhouse,675
dare,92
lap,22
yank,10
beard,30
touche,2
hope,502
feel,924
outta,76
listenin,3
shakin,6
man,3334
ner,7
partner,79
jolly,23
st,70
nick,37
cover,129
elfie,1
didn't,1551
nobody,244
knows,232
secret,262
missing,141
i'd,1171
sink,32
low,187
mushy,3
job,620
damn,387
gonna,2671
satisfaction,16
payday,6
receiving,8
check,519
done,712
ya,504
baby,970
thirteen,5
bucks,171
120,5
gross,48
less,207
social,59
security,81
unemployment,6
insurance,73
costume,60
purchase,30
rental,8
club,177
next,875
ohh,184
13,37
allright,5
bigones,1
springfield,1061
downs,10
heard,472
dog,761
track,62
hot,487
puppy,33
race,111
sory,2
barney,227
total,67
washout,3
sleazy,16
dog's,36
whirlwind,7
ten,262
shot,252
bank,99
miracle,94
saves,8
tv,589
taught,118
miracles,15
happen,252
poor,267
happened,432
tiny,60
tim,33
charlie,53
brown,79
smurfs,3
moldy,9
find,966
elfcounty,1
under,395
bubbles,18
sad,207
elves,19
brother,308
husband,321
said,1150
caroling,2
lot,821
takes,173
along,212
doing,1061
tradition,29
eighth,26
number,382
lucky,194
he's,2186
won,247
five,552
races,10
scrawny,5
bag,187
bones,81
bags,45
racing,22
fans,69
scratch,45
8,81
galahad,3
replaced,37
helper,87
once,555
again,1285
did,2719
hear,746
sign,310
omen,1
coincidence,22
odds,24
ninety,15
nine,130
times,308
equals,19
sometimes,192
faith,78
keeps,74
eveything,1
cheers,60
brainy,5
hip,104
hooray,27
unadulterated,2
pap,3
almost,204
9,66
00,280
anyway,245
